"year","month","metro_station","trips"
"2019","May","Abu Baker Al Siddique Metro Station","359660"
"2019","May","Abu Hail Metro Station","257671"
"2019","May","ADCB Metro Station","534529"
"2019","May","Airport Terminal 1 Metro Station","227607"
"2019","May","Airport Terminal 3 Metro Station","144700"
"2019","May","Al Fahidi  Metro Station","642124"
"2019","May","Al Ghubaiba Metro Station","378052"
"2019","May","Al Jadaf Metro Station","56665"
"2019","May","Al Jafiliya Metro Station","388237"
"2019","May","Al Nahda Metro Station","228279"
"2019","May","Al Qiyadah Metro Station","161201"
"2019","May","Al Qusais  Metro Station","178804"
"2019","May","Al Ras Metro Station","166943"
"2019","May","Al Rigga Metro Station","796986"
"2019","May","Baniyas Square Metro Station","513359"
"2019","May","Burj Khalifa/ Dubai Mall Metro Station","545845"
"2019","May","BurJuman Metro Station","1048850"
"2019","May","Business Bay Metro Station","568860"
"2019","May","Creek Metro Station","66796"
"2019","May","DAMAC Properties Metro Station","379043"
"2019","May","Danube Metro Station","159116"
"2019","May","Deira City Centre Metro Station","599760"
"2019","May","DMCC Metro Station","513682"
"2019","May","Dubai Airport Free Zone Metro Station","308388"
"2019","May","Dubai Healthcare City Metro Station","157753"
"2019","May","Dubai Internet City  Metro Station","468490"
"2019","May","Emirates Metro Station","187965"
"2019","May","Emirates Towers Metro Station","309767"
"2019","May","Energy  Metro Station","9783"
"2019","May","Etisalat Metro Station","183939"
"2019","May","Financial Centre Metro Station","263724"
"2019","May","First Abu Dhabi Bank Metro Station","294597"
"2019","May","GGICO  Metro Station","199531"
"2019","May","Ibn Battuta Metro Station","377669"
"2019","May","Mall of the Emirates Metro Station","571458"
"2019","May","Nakheel Metro Station","114858"
"2019","May","Noor Bank Metro Station","451586"
"2019","May","Oud Metha Metro Station","406304"
"2019","May","Palm Deira Metro Station","213157"
"2019","May","Rashidiya Metro Station","467000"
"2019","May","Salah Al Din Metro Station","412713"
"2019","May","Sharaf DG Metro Station","261534"
"2019","May","Stadium Metro Station","476444"
"2019","May","UAE Exchange Metro Station","114336"
"2019","May","Union  Metro Station","846602"
"2019","May","World Trade Centre Metro Station","241342"
