"year","month","metro_station","trips"
"2019","Feb","Abu Baker Al Siddique Metro Station","349805"
"2019","Feb","Abu Hail Metro Station","251380"
"2019","Feb","ADCB Metro Station","517448"
"2019","Feb","Airport Terminal 1 Metro Station","238861"
"2019","Feb","Airport Terminal 3 Metro Station","147805"
"2019","Feb","Al Fahidi  Metro Station","631951"
"2019","Feb","Al Ghubaiba Metro Station","385490"
"2019","Feb","Al Jadaf Metro Station","57927"
"2019","Feb","Al Jafiliya Metro Station","391266"
"2019","Feb","Al Nahda Metro Station","222155"
"2019","Feb","Al Qiyadah Metro Station","166257"
"2019","Feb","Al Qusais  Metro Station","175765"
"2019","Feb","Al Ras Metro Station","181909"
"2019","Feb","Al Rigga Metro Station","783084"
"2019","Feb","Baniyas Square Metro Station","522591"
"2019","Feb","Burj Khalifa/ Dubai Mall Metro Station","655522"
"2019","Feb","BurJuman Metro Station","1019764"
"2019","Feb","Business Bay Metro Station","568811"
"2019","Feb","Creek Metro Station","65442"
"2019","Feb","DAMAC Properties Metro Station","401768"
"2019","Feb","Danube Metro Station","115174"
"2019","Feb","Deira City Centre Metro Station","593618"
"2019","Feb","DMCC Metro Station","882189"
"2019","Feb","Dubai Airport Free Zone Metro Station","300216"
"2019","Feb","Dubai Healthcare City Metro Station","164071"
"2019","Feb","Dubai Internet City  Metro Station","490604"
"2019","Feb","Emirates Metro Station","182310"
"2019","Feb","Emirates Towers Metro Station","306617"
"2019","Feb","Energy  Metro Station","5873"
"2019","Feb","Etisalat Metro Station","168311"
"2019","Feb","Financial Centre Metro Station","289957"
"2019","Feb","First Abu Dhabi Bank Metro Station","292883"
"2019","Feb","GGICO  Metro Station","206674"
"2019","Feb","Ibn Battuta Metro Station","207502"
"2019","Feb","Mall of the Emirates Metro Station","613200"
"2019","Feb","Nakheel Metro Station","128592"
"2019","Feb","Noor Bank Metro Station","430328"
"2019","Feb","Oud Metha Metro Station","406320"
"2019","Feb","Palm Deira Metro Station","223179"
"2019","Feb","Rashidiya Metro Station","461623"
"2019","Feb","Salah Al Din Metro Station","392402"
"2019","Feb","Sharaf DG Metro Station","267540"
"2019","Feb","Stadium Metro Station","472110"
"2019","Feb","UAE Exchange Metro Station","76644"
"2019","Feb","Union  Metro Station","875786"
"2019","Feb","World Trade Centre Metro Station","366318"
