"year","month","metro_station","trips"
"2019","Mar","Abu Baker Al Siddique Metro Station","381747"
"2019","Mar","Abu Hail Metro Station","274652"
"2019","Mar","ADCB Metro Station","574672"
"2019","Mar","Airport Terminal 1 Metro Station","258007"
"2019","Mar","Airport Terminal 3 Metro Station","165427"
"2019","Mar","Al Fahidi  Metro Station","689103"
"2019","Mar","Al Ghubaiba Metro Station","430722"
"2019","Mar","Al Jadaf Metro Station","65855"
"2019","Mar","Al Jafiliya Metro Station","425200"
"2019","Mar","Al Nahda Metro Station","242473"
"2019","Mar","Al Qiyadah Metro Station","180105"
"2019","Mar","Al Qusais  Metro Station","193777"
"2019","Mar","Al Ras Metro Station","191823"
"2019","Mar","Al Rigga Metro Station","846224"
"2019","Mar","Baniyas Square Metro Station","569746"
"2019","Mar","Burj Khalifa/ Dubai Mall Metro Station","708904"
"2019","Mar","BurJuman Metro Station","1124463"
"2019","Mar","Business Bay Metro Station","619685"
"2019","Mar","Creek Metro Station","71452"
"2019","Mar","DAMAC Properties Metro Station","431921"
"2019","Mar","Danube Metro Station","129360"
"2019","Mar","Deira City Centre Metro Station","649593"
"2019","Mar","DMCC Metro Station","965485"
"2019","Mar","Dubai Airport Free Zone Metro Station","327602"
"2019","Mar","Dubai Healthcare City Metro Station","173618"
"2019","Mar","Dubai Internet City  Metro Station","525888"
"2019","Mar","Emirates Metro Station","196726"
"2019","Mar","Emirates Towers Metro Station","328493"
"2019","Mar","Energy  Metro Station","6683"
"2019","Mar","Etisalat Metro Station","185363"
"2019","Mar","Financial Centre Metro Station","306808"
"2019","Mar","First Abu Dhabi Bank Metro Station","319127"
"2019","Mar","GGICO  Metro Station","219749"
"2019","Mar","Ibn Battuta Metro Station","232912"
"2019","Mar","Mall of the Emirates Metro Station","672708"
"2019","Mar","Nakheel Metro Station","132744"
"2019","Mar","Noor Bank Metro Station","482706"
"2019","Mar","Oud Metha Metro Station","466948"
"2019","Mar","Palm Deira Metro Station","242154"
"2019","Mar","Rashidiya Metro Station","502558"
"2019","Mar","Salah Al Din Metro Station","428171"
"2019","Mar","Sharaf DG Metro Station","285810"
"2019","Mar","Stadium Metro Station","513820"
"2019","Mar","UAE Exchange Metro Station","84399"
"2019","Mar","Union  Metro Station","955717"
"2019","Mar","World Trade Centre Metro Station","300236"
