"year","month","metro_station","trips"
"2019","Sep","Abu Baker Al Siddique Metro Station","333691"
"2019","Sep","Abu Hail Metro Station","245531"
"2019","Sep","ADCB Metro Station","508861"
"2019","Sep","Airport Terminal 1 Metro Station","243251"
"2019","Sep","Airport Terminal 3 Metro Station","145506"
"2019","Sep","Al Fahidi  Metro Station","640795"
"2019","Sep","Al Ghubaiba Metro Station","359575"
"2019","Sep","Al Jadaf Metro Station","57033"
"2019","Sep","Al Jafiliya Metro Station","371819"
"2019","Sep","Al Nahda Metro Station","219463"
"2019","Sep","Al Qiyadah Metro Station","158815"
"2019","Sep","Al Qusais  Metro Station","172846"
"2019","Sep","Al Ras Metro Station","165036"
"2019","Sep","Al Rigga Metro Station","781235"
"2019","Sep","Baniyas Square Metro Station","516945"
"2019","Sep","Burj Khalifa/ Dubai Mall Metro Station","589327"
"2019","Sep","BurJuman Metro Station","1033219"
"2019","Sep","Business Bay Metro Station","577142"
"2019","Sep","Creek Metro Station","64942"
"2019","Sep","DAMAC Properties Metro Station","393073"
"2019","Sep","Danube Metro Station","163149"
"2019","Sep","Deira City Centre Metro Station","568871"
"2019","Sep","DMCC Metro Station","499710"
"2019","Sep","Dubai Airport Free Zone Metro Station","290997"
"2019","Sep","Dubai Healthcare City Metro Station","150786"
"2019","Sep","Dubai Internet City  Metro Station","473263"
"2019","Sep","Emirates Metro Station","182903"
"2019","Sep","Emirates Towers Metro Station","311684"
"2019","Sep","Energy  Metro Station","9533"
"2019","Sep","Etisalat Metro Station","180492"
"2019","Sep","Financial Centre Metro Station","276938"
"2019","Sep","First Abu Dhabi Bank Metro Station","291021"
"2019","Sep","GGICO  Metro Station","188035"
"2019","Sep","Ibn Battuta Metro Station","387529"
"2019","Sep","Mall of the Emirates Metro Station","572787"
"2019","Sep","Nakheel Metro Station","114648"
"2019","Sep","Noor Bank Metro Station","441955"
"2019","Sep","Oud Metha Metro Station","409863"
"2019","Sep","Palm Deira Metro Station","199612"
"2019","Sep","Rashidiya Metro Station","456873"
"2019","Sep","Salah Al Din Metro Station","403972"
"2019","Sep","Sharaf DG Metro Station","263893"
"2019","Sep","Stadium Metro Station","450478"
"2019","Sep","UAE Exchange Metro Station","117251"
"2019","Sep","Union  Metro Station","814155"
"2019","Sep","World Trade Centre Metro Station","292115"
