"year","month","metro_station","trips"
"2019","Jun","Abu Baker Al Siddique Metro Station","327503"
"2019","Jun","Abu Hail Metro Station","240250"
"2019","Jun","ADCB Metro Station","492363"
"2019","Jun","Airport Terminal 1 Metro Station","235727"
"2019","Jun","Airport Terminal 3 Metro Station","145789"
"2019","Jun","Al Fahidi  Metro Station","597083"
"2019","Jun","Al Ghubaiba Metro Station","385766"
"2019","Jun","Al Jadaf Metro Station","50356"
"2019","Jun","Al Jafiliya Metro Station","357449"
"2019","Jun","Al Nahda Metro Station","206866"
"2019","Jun","Al Qiyadah Metro Station","148228"
"2019","Jun","Al Qusais  Metro Station","163355"
"2019","Jun","Al Ras Metro Station","156406"
"2019","Jun","Al Rigga Metro Station","740652"
"2019","Jun","Baniyas Square Metro Station","518811"
"2019","Jun","Burj Khalifa/ Dubai Mall Metro Station","619297"
"2019","Jun","BurJuman Metro Station","968994"
"2019","Jun","Business Bay Metro Station","510278"
"2019","Jun","Creek Metro Station","61912"
"2019","Jun","DAMAC Properties Metro Station","347935"
"2019","Jun","Danube Metro Station","194834"
"2019","Jun","Deira City Centre Metro Station","578847"
"2019","Jun","DMCC Metro Station","479106"
"2019","Jun","Dubai Airport Free Zone Metro Station","279456"
"2019","Jun","Dubai Healthcare City Metro Station","134002"
"2019","Jun","Dubai Internet City  Metro Station","410209"
"2019","Jun","Emirates Metro Station","163542"
"2019","Jun","Emirates Towers Metro Station","272447"
"2019","Jun","Energy  Metro Station","10872"
"2019","Jun","Etisalat Metro Station","186413"
"2019","Jun","Financial Centre Metro Station","246534"
"2019","Jun","First Abu Dhabi Bank Metro Station","270705"
"2019","Jun","GGICO  Metro Station","166019"
"2019","Jun","Ibn Battuta Metro Station","379696"
"2019","Jun","Mall of the Emirates Metro Station","573212"
"2019","Jun","Nakheel Metro Station","96528"
"2019","Jun","Noor Bank Metro Station","434688"
"2019","Jun","Oud Metha Metro Station","352238"
"2019","Jun","Palm Deira Metro Station","214898"
"2019","Jun","Rashidiya Metro Station","449986"
"2019","Jun","Salah Al Din Metro Station","392346"
"2019","Jun","Sharaf DG Metro Station","233764"
"2019","Jun","Stadium Metro Station","434361"
"2019","Jun","UAE Exchange Metro Station","108575"
"2019","Jun","Union  Metro Station","829911"
"2019","Jun","World Trade Centre Metro Station","238113"
