"year","month","metro_station","trips"
"2019","Apr","Abu Baker Al Siddique Metro Station","372024"
"2019","Apr","Abu Hail Metro Station","266195"
"2019","Apr","ADCB Metro Station","550245"
"2019","Apr","Airport Terminal 1 Metro Station","235904"
"2019","Apr","Airport Terminal 3 Metro Station","157544"
"2019","Apr","Al Fahidi  Metro Station","666835"
"2019","Apr","Al Ghubaiba Metro Station","407070"
"2019","Apr","Al Jadaf Metro Station","66775"
"2019","Apr","Al Jafiliya Metro Station","407156"
"2019","Apr","Al Nahda Metro Station","236796"
"2019","Apr","Al Qiyadah Metro Station","174063"
"2019","Apr","Al Qusais  Metro Station","189614"
"2019","Apr","Al Ras Metro Station","186028"
"2019","Apr","Al Rigga Metro Station","810461"
"2019","Apr","Baniyas Square Metro Station","558229"
"2019","Apr","Burj Khalifa/ Dubai Mall Metro Station","674675"
"2019","Apr","BurJuman Metro Station","1084177"
"2019","Apr","Business Bay Metro Station","599220"
"2019","Apr","Creek Metro Station","69518"
"2019","Apr","DAMAC Properties Metro Station","412039"
"2019","Apr","Danube Metro Station","129652"
"2019","Apr","Deira City Centre Metro Station","624016"
"2019","Apr","DMCC Metro Station","784664"
"2019","Apr","Dubai Airport Free Zone Metro Station","323977"
"2019","Apr","Dubai Healthcare City Metro Station","169350"
"2019","Apr","Dubai Internet City  Metro Station","512464"
"2019","Apr","Emirates Metro Station","190499"
"2019","Apr","Emirates Towers Metro Station","320502"
"2019","Apr","Energy  Metro Station","8735"
"2019","Apr","Etisalat Metro Station","184245"
"2019","Apr","Financial Centre Metro Station","293738"
"2019","Apr","First Abu Dhabi Bank Metro Station","308598"
"2019","Apr","GGICO  Metro Station","209928"
"2019","Apr","Ibn Battuta Metro Station","284920"
"2019","Apr","Mall of the Emirates Metro Station","626877"
"2019","Apr","Nakheel Metro Station","126869"
"2019","Apr","Noor Bank Metro Station","461250"
"2019","Apr","Oud Metha Metro Station","461498"
"2019","Apr","Palm Deira Metro Station","229027"
"2019","Apr","Rashidiya Metro Station","483892"
"2019","Apr","Salah Al Din Metro Station","413757"
"2019","Apr","Sharaf DG Metro Station","279497"
"2019","Apr","Stadium Metro Station","497061"
"2019","Apr","UAE Exchange Metro Station","91502"
"2019","Apr","Union  Metro Station","904631"
"2019","Apr","World Trade Centre Metro Station","315579"
