,name,categories,lat,lng
87,البدع,Neighborhood,25.224198966420875,55.265214894431104
88,Nad Al Hamar ند الحمر,Neighborhood,25.19926729491207,55.378527620310976
89,Zabeel 1 زعبيل,Neighborhood,25.22298585907279,55.30958908875358
90,الجداف,Neighborhood,25.220475101964222,55.32648102827227
91,Al Warqa 1 الورقاء,Neighborhood,25.18616129449583,55.405319414344376
92,الجميرا,Neighborhood,25.227805029865124,55.26012034226211
93,Jebel Ali Free Zone (المنطقة الحرة لجبل علي),Neighborhood,24.945597572150703,55.070628471357615
94,Satwa السطوة,Neighborhood,25.232283701440327,55.27583670983929
95,Al Warqa Walk ممشى الورقاء,Neighborhood,25.189338771838553,55.41253088058625
96,Garhoud القرهود,Neighborhood,25.243536726308847,55.34888089443809
97,Al Karama (الكرامة),Neighborhood,25.24553181243988,55.302558954078044
98,Al Hudaiba,Neighborhood,25.237603905217355,55.277828446046556
99,Warsan,Neighborhood,25.156105848056228,55.45615837339697
